nrens=   100 nrwells=     5 nrdata=     3 nx=    36
   1   1   1   1   0.534279E+03
   2   1   1   1   0.583273E+03
   3   1   1   1   0.607322E+03
   4   1   1   1   0.614061E+03
   5   1   1   1   0.600684E+03
   6   1   1   1   0.469816E+03
   7   1   1   1   0.353254E+03
   8   1   1   1   0.350571E+03
   9   1   1   1   0.423447E+03
  10   1   1   1   0.499525E+03
  11   1   1   1   0.544242E+03
  12   1   1   1   0.569831E+03
  13   1   1   1   0.609172E+03
  14   1   1   1   0.679984E+03
  15   1   1   1   0.739631E+03
  16   1   1   1   0.815722E+03
  17   1   1   1   0.885893E+03
  18   1   1   1   0.954530E+03
  19   1   1   1   0.990901E+03
  20   1   1   1   0.101574E+04
  21   1   1   1   0.100301E+04
  22   1   1   1   0.948125E+03
  23   1   1   1   0.861083E+03
  24   1   1   1   0.731165E+03
  25   1   1   1   0.521562E+03
  26   1   1   1   0.309286E+03
  27   1   1   1   0.108536E+03
  28   1   1   1  -0.633698E+02
  29   1   1   1  -0.207608E+03
  30   1   1   1  -0.322543E+03
  31   1   1   1  -0.403076E+03
  32   1   1   1  -0.465287E+03
  33   1   1   1  -0.535119E+03
  34   1   1   1  -0.527466E+03
  35   1   1   1  -0.495307E+03
  36   1   1   1  -0.415210E+03
   1   2   1   1  -0.170509E+01
   2   2   1   1  -0.163859E+01
   3   2   1   1  -0.158337E+01
   4   2   1   1  -0.155053E+01
   5   2   1   1  -0.154752E+01
   6   2   1   1  -0.157634E+01
   7   2   1   1  -0.163254E+01
   8   2   1   1  -0.170525E+01
   9   2   1   1  -0.177825E+01
  10   2   1   1  -0.183179E+01
  11   2   1   1  -0.184484E+01
  12   2   1   1  -0.179760E+01
  13   2   1   1  -0.167380E+01
  14   2   1   1  -0.146268E+01
  15   2   1   1  -0.116034E+01
  16   2   1   1  -0.777941E+00
  17   2   1   1  -0.518936E+00
  18   2   1   1   0.742198E+00
  19   2   1   1   0.535916E+01
  20   2   1   1   0.168481E+02
  21   2   1   1   0.408903E+02
  22   2   1   1   0.846020E+02
  23   2   1   1   0.160943E+03
  24   2   1   1   0.287863E+03
  25   2   1   1   0.521062E+03
  26   2   1   1   0.814476E+03
  27   2   1   1   0.115345E+04
  28   2   1   1   0.140234E+04
  29   2   1   1   0.153774E+04
  30   2   1   1   0.159070E+04
  31   2   1   1   0.155211E+04
  32   2   1   1   0.143900E+04
  33   2   1   1   0.121622E+04
  34   2   1   1   0.104168E+04
  35   2   1   1   0.794345E+03
  36   2   1   1   0.551220E+03
   1   3   1   1   0.590275E+05
   2   3   1   1   0.473443E+05
   3   3   1   1   0.384375E+05
   4   3   1   1   0.363732E+05
   5   3   1   1   0.475185E+05
   6   3   1   1   0.745516E+05
   7   3   1   1   0.104557E+06
   8   3   1   1   0.150085E+06
   9   3   1   1   0.202152E+06
  10   3   1   1   0.271119E+06
  11   3   1   1   0.295867E+06
  12   3   1   1   0.349553E+06
  13   3   1   1   0.397066E+06
  14   3   1   1   0.453385E+06
  15   3   1   1   0.488991E+06
  16   3   1   1   0.517190E+06
